,Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,
,slc.12.610.04,12,610,04,User Fees and Service Charges,Roadways,
,slc.12.610.05,12,610,05,- n.a. -,Roadways,
,slc.12.610.06,12,610,06,- n.a. -,Roadways,
,slc.12.610.07,12,610,07,- n.a. -,Roadways,
,slc.12.620.01,12,620,01,Ontario Conditional Grants,Winter control,
,slc.12.620.02,12,620,02,Canada Conditional Grants,Winter control,
,slc.12.620.03,12,620,03,Other Municipalities,Winter control,
,slc.12.620.04,12,620,04,User Fees and Service Charges,Winter control,
,slc.12.620.05,12,620,05,- n.a. -,Winter control,
,slc.12.620.06,12,620,06,- n.a. -,Winter control,
,slc.12.620.07,12,620,07,- n.a. -,Winter control,
,slc.12.630.01,12,630,01,Ontario Conditional Grants,Transit,
,slc.12.630.02,12,630,02,Canada Conditional Grants,Transit,
,slc.12.630.03,12,630,03,Other Municipalities,Transit,
,slc.12.630.04,12,630,04,User Fees and Service Charges,Transit,
,slc.12.630.05,12,630,05,- n.a. -,Transit,
,slc.12.630.06,12,630,06,- n.a. -,Transit,
,slc.12.630.07,12,630,07,- n.a. -,Transit,
,slc.12.640.01,12,640,01,Ontario Conditional Grants,Parking,
,slc.12.640.02,12,640,02,Canada Conditional Grants,Parking,
,slc.12.640.03,12,640,03,Other Municipalities,Parking,
,slc.12.640.04,12,640,04,User Fees and Service Charges,Parking,
,slc.12.640.05,12,640,05,- n.a. -,Parking,
,slc.12.640.06,12,640,06,- n.a. -,Parking,
,slc.12.640.07,12,640,07,- n.a. -,Parking,
,slc.12.650.01,12,650,01,Ontario Conditional Grants,Street lighting,
,slc.12.650.02,12,650,02,Canada Conditional Grants,Street lighting,
,slc.12.650.03,12,650,03,Other Municipalities,Street lighting,
,slc.12.650.04,12,650,04,User Fees and Service Charges,Street lighting,
,slc.12.650.05,12,650,05,- n.a. -,Street lighting,
,slc.12.650.06,12,650,06,- n.a. -,Street lighting,
,slc.12.650.07,12,650,07,- n.a. -,Street lighting,
,slc.12.660.01,12,660,01,Ontario Conditional Grants,Air transportation,
,slc.12.660.02,12,660,02,Canada Conditional Grants,Air transportation,
,slc.12.660.03,12,660,03,Other Municipalities,Air transportation,
,slc.12.660.04,12,660,04,User Fees and Service Charges,Air transportation,
,slc.12.660.05,12,660,05,- n.a. -,Air transportation,
,slc.12.660.06,12,660,06,- n.a. -,Air transportation,
,slc.12.660.07,12,660,07,- n.a. -,Air transportation,
,slc.12.698.01,12,698,01,Ontario Conditional Grants,Please specify,
,slc.12.698.02,12,698,02,Canada Conditional Grants,Please specify,
,slc.12.698.03,12,698,03,Other Municipalities,Please specify,
,slc.12.698.04,12,698,04,User Fees and Service Charges,Please specify,
,slc.12.698.05,12,698,05,- n.a. -,Please specify,
,slc.12.698.06,12,698,06,- n.a. -,Please specify,
,slc.12.698.07,12,698,07,- n.a. -,Please specify,
,slc.12.699.01,12,699,01,Ontario Conditional Grants,Subtotal,
,slc.12.699.02,12,699,02,Canada Conditional Grants,Subtotal,
,slc.12.699.03,12,699,03,Other Municipalities,Subtotal,
,slc.12.699.04,12,699,04,User Fees and Service Charges,Subtotal,
,slc.12.699.05,12,699,05,- n.a. -,Subtotal,
,slc.12.699.06,12,699,06,- n.a. -,Subtotal,
,slc.12.699.07,12,699,07,- n.a. -,Subtotal,
,slc.12.810.01,12,810,01,Ontario Conditional Grants,Sanitary sewer system,
,slc.12.810.02,12,810,02,Canada Conditional Grants,Sanitary sewer system,
,slc.12.810.03,12,810,03,Other Municipalities,Sanitary sewer system,
,slc.12.810.04,12,810,04,User Fees and Service Charges,Sanitary sewer system,
,slc.12.810.05,12,810,05,- n.a. -,Sanitary sewer system,
,slc.12.810.06,12,810,06,- n.a. -,Sanitary sewer system,
,slc.12.810.07,12,810,07,- n.a. -,Sanitary sewer system,
,slc.12.820.01,12,820,01,Ontario Conditional Grants,Storm sewer system,
,slc.12.820.02,12,820,02,Canada Conditional Grants,Storm sewer system,
,slc.12.820.03,12,820,03,Other Municipalities,Storm sewer system,
,slc.12.820.04,12,820,04,User Fees and Service Charges,Storm sewer system,
,slc.12.820.05,12,820,05,- n.a. -,Storm sewer system,
,slc.12.820.06,12,820,06,- n.a. -,Storm sewer system,
,slc.12.820.07,12,820,07,- n.a. -,Storm sewer system,
,slc.12.830.01,12,830,01,Ontario Conditional Grants,Waterworks system,
,slc.12.830.02,12,830,02,Canada Conditional Grants,Waterworks system,
,slc.12.830.03,12,830,03,Other Municipalities,Waterworks system,
,slc.12.830.04,12,830,04,User Fees and Service Charges,Waterworks system,
,slc.12.830.05,12,830,05,- n.a. -,Waterworks system,
,slc.12.830.06,12,830,06,- n.a. -,Waterworks system,
,slc.12.830.07,12,830,07,- n.a. -,Waterworks system,
,slc.12.840.01,12,840,01,Ontario Conditional Grants,Waste collection,
,slc.12.840.02,12,840,02,Canada Conditional Grants,Waste collection,
,slc.12.840.03,12,840,03,Other Municipalities,Waste collection,
,slc.12.840.04,12,840,04,User Fees and Service Charges,Waste collection,
,slc.12.840.05,12,840,05,- n.a. -,Waste collection,
,slc.12.840.06,12,840,06,- n.a. -,Waste collection,
,slc.12.840.07,12,840,07,- n.a. -,Waste collection,
,slc.12.850.01,12,850,01,Ontario Conditional Grants,Waste disposal,
,slc.12.850.02,12,850,02,Canada Conditional Grants,Waste disposal,
,slc.12.850.03,12,850,03,Other Municipalities,Waste disposal,
,slc.12.850.04,12,850,04,User Fees and Service Charges,Waste disposal,
,slc.12.850.05,12,850,05,- n.a. -,Waste disposal,
,slc.12.850.06,12,850,06,- n.a. -,Waste disposal,
,slc.12.850.07,12,850,07,- n.a. -,Waste disposal,
,slc.12.860.01,12,860,01,Ontario Conditional Grants,Recycling,
,slc.12.860.02,12,860,02,Canada Conditional Grants,Recycling,
,slc.12.860.03,12,860,03,Other Municipalities,Recycling,
,slc.12.860.04,12,860,04,User Fees and Service Charges,Recycling,
,slc.12.860.05,12,860,05,- n.a. -,Recycling,
,slc.12.860.06,12,860,06,- n.a. -,Recycling,
,slc.12.860.07,12,860,07,- n.a. -,Recycling,
,slc.12.898.01,12,898,01,Ontario Conditional Grants,Please specify,
,slc.12.898.02,12,898,02,Canada Conditional Grants,Please specify,
,slc.12.898.03,12,898,03,Other Municipalities,Please specify,
,slc.12.898.04,12,898,04,User Fees and Service Charges,Please specify,
,slc.12.898.05,12,898,05,- n.a. -,Please specify,
,slc.12.898.06,12,898,06,- n.a. -,Please specify,
,slc.12.898.07,12,898,07,- n.a. -,Please specify,
,slc.12.899.01,12,899,01,Ontario Conditional Grants,Subtotal,
,slc.12.899.02,12,899,02,Canada Conditional Grants,Subtotal,
,slc.12.899.03,12,899,03,Other Municipalities,Subtotal,
,slc.12.899.04,12,899,04,User Fees and Service Charges,Subtotal,
,slc.12.899.05,12,899,05,- n.a. -,Subtotal,
,slc.12.899.06,12,899,06,- n.a. -,Subtotal,
,slc.12.899.07,12,899,07,- n.a. -,Subtotal,
,slc.12.1010.01,12,1010,01,Ontario Conditional Grants,Public health services,
,slc.12.1010.02,12,1010,02,Canada Conditional Grants,Public health services,
,slc.12.1010.03,12,1010,03,Other Municipalities,Public health services,
,slc.12.1010.04,12,1010,04,User Fees and Service Charges,Public health services,
,slc.12.1010.05,12,1010,05,- n.a. -,Public health services,
,slc.12.1010.06,12,1010,06,- n.a. -,Public health services,
,slc.12.1010.07,12,1010,07,- n.a. -,Public health services,
,slc.12.1020.01,12,1020,01,Ontario Conditional Grants,Hospitals,
,slc.12.1020.02,12,1020,02,Canada Conditional Grants,Hospitals,
,slc.12.1020.03,12,1020,03,Other Municipalities,Hospitals,
,slc.12.1020.04,12,1020,04,User Fees and Service Charges,Hospitals,
,slc.12.1020.05,12,1020,05,- n.a. -,Hospitals,
,slc.12.1020.06,12,1020,06,- n.a. -,Hospitals,
,slc.12.1020.07,12,1020,07,- n.a. -,Hospitals,
,slc.12.1030.01,12,1030,01,Ontario Conditional Grants,Ambulance services,
,slc.12.1030.02,12,1030,02,Canada Conditional Grants,Ambulance services,
,slc.12.1030.03,12,1030,03,Other Municipalities,Ambulance services,
,slc.12.1030.04,12,1030,04,User Fees and Service Charges,Ambulance services,
,slc.12.1030.05,12,1030,05,- n.a. -,Ambulance services,
,slc.12.1030.06,12,1030,06,- n.a. -,Ambulance services,
,slc.12.1030.07,12,1030,07,- n.a. -,Ambulance services,
,slc.12.1035.01,12,1035,01,Ontario Conditional Grants,Ambulance dispatch,
,slc.12.1035.02,12,1035,02,Canada Conditional Grants,Ambulance dispatch,
,slc.12.1035.03,12,1035,03,Other Municipalities,Ambulance dispatch,
,slc.12.1035.04,12,1035,04,User Fees and Service Charges,Ambulance dispatch,
,slc.12.1035.05,12,1035,05,- n.a. -,Ambulance dispatch,
,slc.12.1035.06,12,1035,06,- n.a. -,Ambulance dispatch,
,slc.12.1035.07,12,1035,07,- n.a. -,Ambulance dispatch,
,slc.12.1040.01,12,1040,01,Ontario Conditional Grants,Cemeteries,
,slc.12.1040.02,12,1040,02,Canada Conditional Grants,Cemeteries,
,slc.12.1040.03,12,1040,03,Other Municipalities,Cemeteries,
,slc.12.1040.04,12,1040,04,User Fees and Service Charges,Cemeteries,
,slc.12.1040.05,12,1040,05,- n.a. -,Cemeteries,
,slc.12.1040.06,12,1040,06,- n.a. -,Cemeteries,
,slc.12.1040.07,12,1040,07,- n.a. -,Cemeteries,
,slc.12.1098.01,12,1098,01,Ontario Conditional Grants,Please specify,
,slc.12.1098.02,12,1098,02,Canada Conditional Grants,Please specify,
,slc.12.1098.03,12,1098,03,Other Municipalities,Please specify,
,slc.12.1098.04,12,1098,04,User Fees and Service Charges,Please specify,
,slc.12.1098.05,12,1098,05,- n.a. -,Please specify,
,slc.12.1098.06,12,1098,06,- n.a. -,Please specify,
,slc.12.1098.07,12,1098,07,- n.a. -,Please specify,
,slc.12.1099.01,12,1099,01,Ontario Conditional Grants,Subtotal,
,slc.12.1099.02,12,1099,02,Canada Conditional Grants,Subtotal,
,slc.12.1099.03,12,1099,03,Other Municipalities,Subtotal,
,slc.12.1099.04,12,1099,04,User Fees and Service Charges,Subtotal,
,slc.12.1099.05,12,1099,05,- n.a. -,Subtotal,
,slc.12.1099.06,12,1099,06,- n.a. -,Subtotal,
,slc.12.1099.07,12,1099,07,- n.a. -,Subtotal,
,slc.12.1210.01,12,1210,01,Ontario Conditional Grants,General assistance,
,slc.12.1210.02,12,1210,02,Canada Conditional Grants,General assistance,
,slc.12.1210.03,12,1210,03,Other Municipalities,General assistance,
,slc.12.1210.04,12,1210,04,User Fees and Service Charges,General assistance,
,slc.12.1210.05,12,1210,05,- n.a. -,General assistance,
,slc.12.1210.06,12,1210,06,- n.a. -,General assistance,
,slc.12.1210.07,12,1210,07,- n.a. -,General assistance,
,slc.12.1220.01,12,1220,01,Ontario Conditional Grants,Assistance to aged persons,
,slc.12.1220.02,12,1220,02,Canada Conditional Grants,Assistance to aged persons,
,slc.12.1220.03,12,1220,03,Other Municipalities,Assistance to aged persons,
,slc.12.1220.04,12,1220,04,User Fees and Service Charges,Assistance to aged persons,
,slc.12.1220.05,12,1220,05,- n.a. -,Assistance to aged persons,
,slc.12.1220.06,12,1220,06,- n.a. -,Assistance to aged persons,
,slc.12.1220.07,12,1220,07,- n.a. -,Assistance to aged persons,
,slc.12.1230.01,12,1230,01,Ontario Conditional Grants,Child care,
,slc.12.1230.02,12,1230,02,Canada Conditional Grants,Child care,
,slc.12.1230.03,12,1230,03,Other Municipalities,Child care,
,slc.12.1230.04,12,1230,04,User Fees and Service Charges,Child care,
,slc.12.1230.05,12,1230,05,- n.a. -,Child care,
,slc.12.1230.06,12,1230,06,- n.a. -,Child care,
,slc.12.1230.07,12,1230,07,- n.a. -,Child care,
,slc.12.1298.01,12,1298,01,Ontario Conditional Grants,Please specify,
,slc.12.1298.02,12,1298,02,Canada Conditional Grants,Please specify,
,slc.12.1298.03,12,1298,03,Other Municipalities,Please specify,
,slc.12.1298.04,12,1298,04,User Fees and Service Charges,Please specify,
,slc.12.1298.05,12,1298,05,- n.a. -,Please specify,
,slc.12.1298.06,12,1298,06,- n.a. -,Please specify,
,slc.12.1298.07,12,1298,07,- n.a. -,Please specify,
,slc.12.1299.01,12,1299,01,Ontario Conditional Grants,Subtotal,
,slc.12.1299.02,12,1299,02,Canada Conditional Grants,Subtotal,
,slc.12.1299.03,12,1299,03,Other Municipalities,Subtotal,
,slc.12.1299.04,12,1299,04,User Fees and Service Charges,Subtotal,
,slc.12.1299.05,12,1299,05,- n.a. -,Subtotal,
,slc.12.1299.06,12,1299,06,- n.a. -,Subtotal,
,slc.12.1299.07,12,1299,07,- n.a. -,Subtotal,
,slc.12.1499.01,12,1499,01,Ontario Conditional Grants,Social Housing,
,slc.12.1499.02,12,1499,02,Canada Conditional Grants,Social Housing,
,slc.12.1499.03,12,1499,03,Other Municipalities,Social Housing,
,slc.12.1499.04,12,1499,04,User Fees and Service Charges,Social Housing,
,slc.12.1499.05,12,1499,05,- n.a. -,Social Housing,
,slc.12.1499.06,12,1499,06,- n.a. -,Social Housing,
,slc.12.1499.07,12,1499,07,- n.a. -,Social Housing,
,slc.12.1610.01,12,1610,01,Ontario Conditional Grants,Parks,
,slc.12.1610.02,12,1610,02,Canada Conditional Grants,Parks,
,slc.12.1610.03,12,1610,03,Other Municipalities,Parks,
,slc.12.1610.04,12,1610,04,User Fees and Service Charges,Parks,
,slc.12.1610.05,12,1610,05,- n.a. -,Parks,
,slc.12.1610.06,12,1610,06,- n.a. -,Parks,
,slc.12.1610.07,12,1610,07,- n.a. -,Parks,
,slc.12.1620.01,12,1620,01,Ontario Conditional Grants,Recreation programs,
,slc.12.1620.02,12,1620,02,Canada Conditional Grants,Recreation programs,
,slc.12.1620.03,12,1620,03,Other Municipalities,Recreation programs,
,slc.12.1620.04,12,1620,04,User Fees and Service Charges,Recreation programs,
,slc.12.1620.05,12,1620,05,- n.a. -,Recreation programs,
,slc.12.1620.06,12,1620,06,- n.a. -,Recreation programs,
,slc.12.1620.07,12,1620,07,- n.a. -,Recreation programs,
,slc.12.1630.01,12,1630,01,Ontario Conditional Grants,Recreation facilities,
,slc.12.1630.02,12,1630,02,Canada Conditional Grants,Recreation facilities,
,slc.12.1630.03,12,1630,03,Other Municipalities,Recreation facilities,
,slc.12.1630.04,12,1630,04,User Fees and Service Charges,Recreation facilities,
,slc.12.1630.05,12,1630,05,- n.a. -,Recreation facilities,
,slc.12.1630.06,12,1630,06,- n.a. -,Recreation facilities,
,slc.12.1630.07,12,1630,07,- n.a. -,Recreation facilities,
,slc.12.1631.01,12,1631,01,Ontario Conditional Grants,"Recreation facilities - Golf Course, Marina, Ski Hill",
,slc.12.1631.02,12,1631,02,Canada Conditional Grants,"Recreation facilities - Golf Course, Marina, Ski Hill",
,slc.12.1631.03,12,1631,03,Other Municipalities,"Recreation facilities - Golf Course, Marina, Ski Hill",
,slc.12.1631.04,12,1631,04,User Fees and Service Charges,"Recreation facilities - Golf Course, Marina, Ski Hill",
,slc.12.1631.05,12,1631,05,- n.a. -,"Recreation facilities - Golf Course, Marina, Ski Hill",
,slc.12.1631.06,12,1631,06,- n.a. -,"Recreation facilities - Golf Course, Marina, Ski Hill",
