Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,Rev_Exp_Staff_Other,Category,Include
slc.10.4076.01,10,4076,01,Own Purpose Revenue,Cultural services,R,Canada Gas Tax Funding,1
slc.10.4080.01,10,4080,01,Own Purpose Revenue,Commercial and industrial,R,Canada Gas Tax Funding,1
slc.10.4099.01,10,4099,01,Own Purpose Revenue,Canada gas tax,,,
slc.10.6010.01,10,6010,01,Own Purpose Revenue,"Government Business Enterprise Equity, beginning of year",,,
slc.10.6020.01,10,6020,01,Own Purpose Revenue,PLUS: Net Income for Government Business Enterprise for year,R,Continuity of Government Business Enterprise Equity,1
slc.10.6060.01,10,6060,01,Own Purpose Revenue,PLUS: Please specify,R,Continuity of Government Business Enterprise Equity,1
slc.10.6090.01,10,6090,01,Own Purpose Revenue,"Government Business Enterprise Equity, end of year",,,
slc.10.9910.01,10,9910,01,Own Purpose Revenue,TOTAL Revenues,,,
slc.10.9940.01,10,9940,01,Own Purpose Revenue,Subtotal,,,
slc.10.9950.01,10,9950,01,Own Purpose Revenue,Accumulated surplus/(deficit) at the end of year (SLC 10 2099 01 + SLC 10 2062 01),,,
slc.12.299.01,12,299,01,Ontario Conditional Grants,General government,,,
slc.12.299.02,12,299,02,Canada Conditional Grants,General government,,,
slc.12.299.03,12,299,03,Other Municipalities,General government,,,
slc.12.299.04,12,299,04,User Fees and Service Charges,General government,,,
slc.12.299.05,12,299,05,Ontario Grants - Tangible Capital Assets,General government,,,
slc.12.299.06,12,299,06,Canada Grants - Tangible Capital Assets,General government,,,
slc.12.299.07,12,299,07,Other Municipalities - Tangible Capital Assets,General government,,,
slc.12.410.01,12,410,01,Ontario Conditional Grants,Fire,,,
slc.12.410.02,12,410,02,Canada Conditional Grants,Fire,,,
slc.12.410.03,12,410,03,Other Municipalities,Fire,,,
slc.12.410.04,12,410,04,User Fees and Service Charges,Fire,,,
slc.12.410.05,12,410,05,Ontario Grants - Tangible Capital Assets,Fire,,,
slc.12.410.06,12,410,06,Canada Grants - Tangible Capital Assets,Fire,,,
slc.12.410.07,12,410,07,Other Municipalities - Tangible Capital Assets,Fire,,,
slc.12.420.01,12,420,01,Ontario Conditional Grants,Police,,,
slc.12.420.02,12,420,02,Canada Conditional Grants,Police,,,
slc.12.420.03,12,420,03,Other Municipalities,Police,,,
slc.12.420.04,12,420,04,User Fees and Service Charges,Police,,,
slc.12.420.05,12,420,05,Ontario Grants - Tangible Capital Assets,Police,,,
slc.12.420.06,12,420,06,Canada Grants - Tangible Capital Assets,Police,,,
slc.12.420.07,12,420,07,Other Municipalities - Tangible Capital Assets,Police,,,
slc.12.421.01,12,421,01,Ontario Conditional Grants,Court security,,,
slc.12.421.02,12,421,02,Canada Conditional Grants,Court security,,,
slc.12.421.03,12,421,03,Other Municipalities,Court security,,,
slc.12.421.04,12,421,04,User Fees and Service Charges,Court security,,,
slc.12.421.05,12,421,05,Ontario Grants - Tangible Capital Assets,Court security,,,
slc.12.421.06,12,421,06,Canada Grants - Tangible Capital Assets,Court security,,,
slc.12.421.07,12,421,07,Other Municipalities - Tangible Capital Assets,Court security,,,
slc.12.422.01,12,422,01,Ontario Conditional Grants,Prisoner transportation,,,
slc.12.422.02,12,422,02,Canada Conditional Grants,Prisoner transportation,,,
slc.12.422.03,12,422,03,Other Municipalities,Prisoner transportation,,,
slc.12.422.04,12,422,04,User Fees and Service Charges,Prisoner transportation,,,
slc.12.422.05,12,422,05,Ontario Grants - Tangible Capital Assets,Prisoner transportation,,,
slc.12.422.06,12,422,06,Canada Grants - Tangible Capital Assets,Prisoner transportation,,,
slc.12.422.07,12,422,07,Other Municipalities - Tangible Capital Assets,Prisoner transportation,,,
slc.12.430.01,12,430,01,Ontario Conditional Grants,Conservation authority,,,
slc.12.430.02,12,430,02,Canada Conditional Grants,Conservation authority,,,
slc.12.430.03,12,430,03,Other Municipalities,Conservation authority,,,
slc.12.430.04,12,430,04,User Fees and Service Charges,Conservation authority,,,
slc.12.430.05,12,430,05,Ontario Grants - Tangible Capital Assets,Conservation authority,,,
slc.12.430.06,12,430,06,Canada Grants - Tangible Capital Assets,Conservation authority,,,
slc.12.430.07,12,430,07,Other Municipalities - Tangible Capital Assets,Conservation authority,,,
slc.12.440.01,12,440,01,Ontario Conditional Grants,Protective inspection and control,,,
slc.12.440.02,12,440,02,Canada Conditional Grants,Protective inspection and control,,,
slc.12.440.03,12,440,03,Other Municipalities,Protective inspection and control,,,
slc.12.440.04,12,440,04,User Fees and Service Charges,Protective inspection and control,,,
slc.12.440.05,12,440,05,Ontario Grants - Tangible Capital Assets,Protective inspection and control,,,
slc.12.440.06,12,440,06,Canada Grants - Tangible Capital Assets,Protective inspection and control,,,
slc.12.440.07,12,440,07,Other Municipalities - Tangible Capital Assets,Protective inspection and control,,,
slc.12.445.01,12,445,01,Ontario Conditional Grants,Building permit and inspection services,,,
slc.12.445.02,12,445,02,Canada Conditional Grants,Building permit and inspection services,,,
slc.12.445.03,12,445,03,Other Municipalities,Building permit and inspection services,,,
slc.12.445.04,12,445,04,User Fees and Service Charges,Building permit and inspection services,,,
slc.12.445.05,12,445,05,Ontario Grants - Tangible Capital Assets,Building permit and inspection services,,,
slc.12.445.06,12,445,06,Canada Grants - Tangible Capital Assets,Building permit and inspection services,,,
slc.12.445.07,12,445,07,Other Municipalities - Tangible Capital Assets,Building permit and inspection services,,,
slc.12.450.01,12,450,01,Ontario Conditional Grants,Emergency measures,,,
slc.12.450.02,12,450,02,Canada Conditional Grants,Emergency measures,,,
slc.12.450.03,12,450,03,Other Municipalities,Emergency measures,,,
slc.12.450.04,12,450,04,User Fees and Service Charges,Emergency measures,,,
slc.12.450.05,12,450,05,Ontario Grants - Tangible Capital Assets,Emergency measures,,,
slc.12.450.06,12,450,06,Canada Grants - Tangible Capital Assets,Emergency measures,,,
slc.12.450.07,12,450,07,Other Municipalities - Tangible Capital Assets,Emergency measures,,,
slc.12.460.01,12,460,01,Ontario Conditional Grants,Provincial Offences Act (POA),,,
slc.12.460.02,12,460,02,Canada Conditional Grants,Provincial Offences Act (POA),,,
slc.12.460.03,12,460,03,Other Municipalities,Provincial Offences Act (POA),,,
slc.12.460.04,12,460,04,User Fees and Service Charges,Provincial Offences Act (POA),,,
slc.12.460.05,12,460,05,Ontario Grants - Tangible Capital Assets,Provincial Offences Act (POA),,,
slc.12.460.06,12,460,06,Canada Grants - Tangible Capital Assets,Provincial Offences Act (POA),,,
slc.12.460.07,12,460,07,Other Municipalities - Tangible Capital Assets,Provincial Offences Act (POA),,,
slc.12.498.01,12,498,01,Ontario Conditional Grants,Please specify,,,
slc.12.498.02,12,498,02,Canada Conditional Grants,Please specify,,,
slc.12.498.03,12,498,03,Other Municipalities,Please specify,,,
slc.12.498.04,12,498,04,User Fees and Service Charges,Please specify,,,
slc.12.498.05,12,498,05,Ontario Grants - Tangible Capital Assets,Please specify,,,
slc.12.498.06,12,498,06,Canada Grants - Tangible Capital Assets,Please specify,,,
slc.12.498.07,12,498,07,Other Municipalities - Tangible Capital Assets,Please specify,,,
slc.12.499.01,12,499,01,Ontario Conditional Grants,Subtotal,,,
slc.12.499.02,12,499,02,Canada Conditional Grants,Subtotal,,,
slc.12.499.03,12,499,03,Other Municipalities,Subtotal,,,
slc.12.499.04,12,499,04,User Fees and Service Charges,Subtotal,,,
slc.12.499.05,12,499,05,Ontario Grants - Tangible Capital Assets,Subtotal,,,
slc.12.499.06,12,499,06,Canada Grants - Tangible Capital Assets,Subtotal,,,
slc.12.499.07,12,499,07,Other Municipalities - Tangible Capital Assets,Subtotal,,,
slc.12.611.01,12,611,01,Ontario Conditional Grants,Roads - paved,,,
slc.12.611.02,12,611,02,Canada Conditional Grants,Roads - paved,,,
slc.12.611.03,12,611,03,Other Municipalities,Roads - paved,,,
slc.12.611.04,12,611,04,User Fees and Service Charges,Roads - paved,,,
slc.12.611.05,12,611,05,Ontario Grants - Tangible Capital Assets,Roads - paved,,,
slc.12.611.06,12,611,06,Canada Grants - Tangible Capital Assets,Roads - paved,,,
slc.12.611.07,12,611,07,Other Municipalities - Tangible Capital Assets,Roads - paved,,,
slc.12.612.01,12,612,01,Ontario Conditional Grants,Roads - unpaved,,,
slc.12.612.02,12,612,02,Canada Conditional Grants,Roads - unpaved,,,
slc.12.612.03,12,612,03,Other Municipalities,Roads - unpaved,,,
slc.12.612.04,12,612,04,User Fees and Service Charges,Roads - unpaved,,,
slc.12.612.05,12,612,05,Ontario Grants - Tangible Capital Assets,Roads - unpaved,,,
slc.12.612.06,12,612,06,Canada Grants - Tangible Capital Assets,Roads - unpaved,,,
slc.12.612.07,12,612,07,Other Municipalities - Tangible Capital Assets,Roads - unpaved,,,
slc.12.613.01,12,613,01,Ontario Conditional Grants,Roads - bridges and culverts,,,
slc.12.613.02,12,613,02,Canada Conditional Grants,Roads - bridges and culverts,,,
slc.12.613.03,12,613,03,Other Municipalities,Roads - bridges and culverts,,,
slc.12.613.04,12,613,04,User Fees and Service Charges,Roads - bridges and culverts,,,
slc.12.613.05,12,613,05,Ontario Grants - Tangible Capital Assets,Roads - bridges and culverts,,,
slc.12.613.06,12,613,06,Canada Grants - Tangible Capital Assets,Roads - bridges and culverts,,,
slc.12.613.07,12,613,07,Other Municipalities - Tangible Capital Assets,Roads - bridges and culverts,,,
slc.12.614.01,12,614,01,Ontario Conditional Grants,Roadways - traffic operations & roadside,,,
slc.12.614.02,12,614,02,Canada Conditional Grants,Roadways - traffic operations & roadside,,,
slc.12.614.03,12,614,03,Other Municipalities,Roadways - traffic operations & roadside,,,
slc.12.614.04,12,614,04,User Fees and Service Charges,Roadways - traffic operations & roadside,,,
slc.12.614.05,12,614,05,Ontario Grants - Tangible Capital Assets,Roadways - traffic operations & roadside,,,
slc.12.614.06,12,614,06,Canada Grants - Tangible Capital Assets,Roadways - traffic operations & roadside,,,
slc.12.614.07,12,614,07,Other Municipalities - Tangible Capital Assets,Roadways - traffic operations & roadside,,,
slc.12.621.01,12,621,01,Ontario Conditional Grants,"Winter control - except sidewalks,parking lots",,,
slc.12.621.02,12,621,02,Canada Conditional Grants,"Winter control - except sidewalks,parking lots",,,
slc.12.621.03,12,621,03,Other Municipalities,"Winter control - except sidewalks,parking lots",,,
slc.12.621.04,12,621,04,User Fees and Service Charges,"Winter control - except sidewalks,parking lots",,,
slc.12.621.05,12,621,05,Ontario Grants - Tangible Capital Assets,"Winter control - except sidewalks,parking lots",,,
slc.12.621.06,12,621,06,Canada Grants - Tangible Capital Assets,"Winter control - except sidewalks,parking lots",,,
slc.12.621.07,12,621,07,Other Municipalities - Tangible Capital Assets,"Winter control - except sidewalks,parking lots",,,
slc.12.622.01,12,622,01,Ontario Conditional Grants,"Winter control - sidewalks,parking lots only",,,
slc.12.622.02,12,622,02,Canada Conditional Grants,"Winter control - sidewalks,parking lots only",,,
slc.12.622.03,12,622,03,Other Municipalities,"Winter control - sidewalks,parking lots only",,,
slc.12.622.04,12,622,04,User Fees and Service Charges,"Winter control - sidewalks,parking lots only",,,
slc.12.622.05,12,622,05,Ontario Grants - Tangible Capital Assets,"Winter control - sidewalks,parking lots only",,,
slc.12.622.06,12,622,06,Canada Grants - Tangible Capital Assets,"Winter control - sidewalks,parking lots only",,,
slc.12.622.07,12,622,07,Other Municipalities - Tangible Capital Assets,"Winter control - sidewalks,parking lots only",,,
slc.12.631.01,12,631,01,Ontario Conditional Grants,Transit - conventional,,,
slc.12.631.02,12,631,02,Canada Conditional Grants,Transit - conventional,,,
slc.12.631.03,12,631,03,Other Municipalities,Transit - conventional,,,
slc.12.631.04,12,631,04,User Fees and Service Charges,Transit - conventional,,,
slc.12.631.05,12,631,05,Ontario Grants - Tangible Capital Assets,Transit - conventional,,,
slc.12.631.06,12,631,06,Canada Grants - Tangible Capital Assets,Transit - conventional,,,
slc.12.631.07,12,631,07,Other Municipalities - Tangible Capital Assets,Transit - conventional,,,
slc.12.632.01,12,632,01,Ontario Conditional Grants,Transit - disabled & special needs,,,
slc.12.632.02,12,632,02,Canada Conditional Grants,Transit - disabled & special needs,,,
slc.12.632.03,12,632,03,Other Municipalities,Transit - disabled & special needs,,,
slc.12.632.04,12,632,04,User Fees and Service Charges,Transit - disabled & special needs,,,
slc.12.632.05,12,632,05,Ontario Grants - Tangible Capital Assets,Transit - disabled & special needs,,,
slc.12.632.06,12,632,06,Canada Grants - Tangible Capital Assets,Transit - disabled & special needs,,,
slc.12.632.07,12,632,07,Other Municipalities - Tangible Capital Assets,Transit - disabled & special needs,,,
slc.12.640.01,12,640,01,Ontario Conditional Grants,Parking,,,
slc.12.640.02,12,640,02,Canada Conditional Grants,Parking,,,
slc.12.640.03,12,640,03,Other Municipalities,Parking,,,
slc.12.640.04,12,640,04,User Fees and Service Charges,Parking,,,
slc.12.640.05,12,640,05,Ontario Grants - Tangible Capital Assets,Parking,,,
slc.12.640.06,12,640,06,Canada Grants - Tangible Capital Assets,Parking,,,
slc.12.640.07,12,640,07,Other Municipalities - Tangible Capital Assets,Parking,,,
slc.12.650.01,12,650,01,Ontario Conditional Grants,Street lighting,,,
slc.12.650.02,12,650,02,Canada Conditional Grants,Street lighting,,,
slc.12.650.03,12,650,03,Other Municipalities,Street lighting,,,
slc.12.650.04,12,650,04,User Fees and Service Charges,Street lighting,,,
slc.12.650.05,12,650,05,Ontario Grants - Tangible Capital Assets,Street lighting,,,
slc.12.650.06,12,650,06,Canada Grants - Tangible Capital Assets,Street lighting,,,
slc.12.650.07,12,650,07,Other Municipalities - Tangible Capital Assets,Street lighting,,,
slc.12.660.01,12,660,01,Ontario Conditional Grants,Air transportation,,,
slc.12.660.02,12,660,02,Canada Conditional Grants,Air transportation,,,
slc.12.660.03,12,660,03,Other Municipalities,Air transportation,,,
slc.12.660.04,12,660,04,User Fees and Service Charges,Air transportation,,,
slc.12.660.05,12,660,05,Ontario Grants - Tangible Capital Assets,Air transportation,,,
slc.12.660.06,12,660,06,Canada Grants - Tangible Capital Assets,Air transportation,,,
slc.12.660.07,12,660,07,Other Municipalities - Tangible Capital Assets,Air transportation,,,
slc.12.698.01,12,698,01,Ontario Conditional Grants,Please specify,,,
slc.12.698.02,12,698,02,Canada Conditional Grants,Please specify,,,
slc.12.698.03,12,698,03,Other Municipalities,Please specify,,,
slc.12.698.04,12,698,04,User Fees and Service Charges,Please specify,,,
slc.12.698.05,12,698,05,Ontario Grants - Tangible Capital Assets,Please specify,,,
slc.12.698.06,12,698,06,Canada Grants - Tangible Capital Assets,Please specify,,,
slc.12.698.07,12,698,07,Other Municipalities - Tangible Capital Assets,Please specify,,,
slc.12.699.01,12,699,01,Ontario Conditional Grants,Subtotal,,,
slc.12.699.02,12,699,02,Canada Conditional Grants,Subtotal,,,
slc.12.699.03,12,699,03,Other Municipalities,Subtotal,,,
slc.12.699.04,12,699,04,User Fees and Service Charges,Subtotal,,,
slc.12.699.05,12,699,05,Ontario Grants - Tangible Capital Assets,Subtotal,,,
slc.12.699.06,12,699,06,Canada Grants - Tangible Capital Assets,Subtotal,,,
slc.12.699.07,12,699,07,Other Municipalities - Tangible Capital Assets,Subtotal,,,
slc.12.811.01,12,811,01,Ontario Conditional Grants,Wastewater collection/conveyance,,,
