Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,Rev_Exp_Staff_Other,Category,Include,
slc.10.2816.01,10,2816,1,Own Purpose Revenue,PLUS: Transfers from reserves,,,,
slc.10.2820.01,10,2820,1,Own Purpose Revenue,Surplus/(deficit),,,,
slc.10.4018.01,10,4018,1,Own Purpose Revenue,Provincial Gas Tax for Transit operating expenses,R,Provincial Gas Tax Funding,0,
slc.10.4019.01,10,4019,1,Own Purpose Revenue,Provincial Gas Tax for Transit capital expenses,R,Provincial Gas Tax Funding,0,
slc.10.4020.01,10,4020,1,Own Purpose Revenue,Provincial gas tax,,,,
slc.10.4025.01,10,4025,1,Own Purpose Revenue,General government,R,Canada Gas Tax Funding,1,
slc.10.4030.01,10,4030,1,Own Purpose Revenue,Transportation services: Roads - Paved,R,Canada Gas Tax Funding,1,
slc.10.4031.01,10,4031,1,Own Purpose Revenue,Transportation services: Roads - Unpaved,R,Canada Gas Tax Funding,1,
slc.10.4032.01,10,4032,1,Own Purpose Revenue,Transportation services: Roads - Bridges and culverts,R,Canada Gas Tax Funding,1,
slc.10.4033.01,10,4033,1,Own Purpose Revenue,Transportation services: Roadways - Traffic operations and roadside,R,Canada Gas Tax Funding,1,
slc.10.4040.01,10,4040,1,Own Purpose Revenue,Transportation services: Transit - Conventional,R,Canada Gas Tax Funding,1,
slc.10.4041.01,10,4041,1,Own Purpose Revenue,Transportation services: Transit - Disabled and special needs,R,Canada Gas Tax Funding,1,
slc.10.4045.01,10,4045,1,Own Purpose Revenue,Air transportation,R,Canada Gas Tax Funding,1,
slc.10.4046.01,10,4046,1,Own Purpose Revenue,Please specify,R,Canada Gas Tax Funding,1,
slc.10.4060.01,10,4060,1,Own Purpose Revenue,Environmental services: Wastewater collection/conveyance,R,Canada Gas Tax Funding,1,
slc.10.4061.01,10,4061,1,Own Purpose Revenue,Environmental services: Wastewater treatment and disposal,R,Canada Gas Tax Funding,1,
slc.10.4062.01,10,4062,1,Own Purpose Revenue,Environmental services: Urban storm sewer system,R,Canada Gas Tax Funding,1,
slc.10.4063.01,10,4063,1,Own Purpose Revenue,Environmental services: Rural storm sewer system,R,Canada Gas Tax Funding,1,
slc.10.4064.01,10,4064,1,Own Purpose Revenue,Environmental services: Water treatment,R,Canada Gas Tax Funding,1,
slc.10.4065.01,10,4065,1,Own Purpose Revenue,Environmental services: Water distribution/transmission,R,Canada Gas Tax Funding,1,
slc.10.4066.01,10,4066,1,Own Purpose Revenue,Environmental services: Solid waste collection,R,Canada Gas Tax Funding,1,
slc.10.4067.01,10,4067,1,Own Purpose Revenue,Environmental services: Solid waste disposal,R,Canada Gas Tax Funding,1,
slc.10.4068.01,10,4068,1,Own Purpose Revenue,Environmental services: Waste diversion,R,Canada Gas Tax Funding,1,
slc.10.4069.01,10,4069,1,Own Purpose Revenue,Environmental services: Other,R,Canada Gas Tax Funding,1,
slc.10.4075.01,10,4075,1,Own Purpose Revenue,Recreation facilities - All other,R,Canada Gas Tax Funding,1,
slc.10.4076.01,10,4076,1,Own Purpose Revenue,Cultural services,R,Canada Gas Tax Funding,1,
slc.10.4080.01,10,4080,1,Own Purpose Revenue,Commercial and industrial,R,Canada Gas Tax Funding,1,
slc.10.4099.01,10,4099,1,Own Purpose Revenue,Canada gas tax,,,,
slc.10.6010.01,10,6010,1,Own Purpose Revenue,"Government Business Enterprise Equity, beginning of year",,,,
slc.10.6020.01,10,6020,1,Own Purpose Revenue,PLUS: Net Income for Government Business Enterprise for year,R,Continuity of Government Business Enterprise Equity,1,
slc.10.6060.01,10,6060,1,Own Purpose Revenue,PLUS: Please specify,R,Continuity of Government Business Enterprise Equity,1,
slc.10.6090.01,10,6090,1,Own Purpose Revenue,"Government Business Enterprise Equity, end of year",,,,
slc.10.9910.01,10,9910,1,Own Purpose Revenue,TOTAL Revenues,,,,
slc.10.9940.01,10,9940,1,Own Purpose Revenue,Subtotal,,,,
slc.10.9950.01,10,9950,1,Own Purpose Revenue,Accumulated surplus/(deficit) at the end of year (SLC 10 2099 01 + SLC 10 2062 01),,,,
slc.12.299.01,12,299,1,Ontario Conditional Grants,General government,R,,1,
slc.12.299.02,12,299,2,Canada Conditional Grants,General government,R,,1,
slc.12.299.03,12,299,3,Other Municipalities,General government,R,,1,
slc.12.299.04,12,299,4,User Fees and Service Charges,General government,R,,1,
slc.12.299.05,12,299,5,Ontario Grants - Tangible Capital Assets,General government,R,,1,
slc.12.299.06,12,299,6,Canada Grants - Tangible Capital Assets,General government,R,,1,
slc.12.299.07,12,299,7,Other Municipalities - Tangible Capital Assets,General government,R,,1,
slc.12.410.01,12,410,1,Ontario Conditional Grants,Fire,R,,1,
slc.12.410.02,12,410,2,Canada Conditional Grants,Fire,R,,1,
slc.12.410.03,12,410,3,Other Municipalities,Fire,R,,1,
slc.12.410.04,12,410,4,User Fees and Service Charges,Fire,R,,1,
slc.12.410.05,12,410,5,Ontario Grants - Tangible Capital Assets,Fire,R,,1,
slc.12.410.06,12,410,6,Canada Grants - Tangible Capital Assets,Fire,R,,1,
slc.12.410.07,12,410,7,Other Municipalities - Tangible Capital Assets,Fire,R,,1,
slc.12.420.01,12,420,1,Ontario Conditional Grants,Police,R,,1,
slc.12.420.02,12,420,2,Canada Conditional Grants,Police,R,,1,
slc.12.420.03,12,420,3,Other Municipalities,Police,R,,1,
slc.12.420.04,12,420,4,User Fees and Service Charges,Police,R,,1,
slc.12.420.05,12,420,5,Ontario Grants - Tangible Capital Assets,Police,R,,1,
slc.12.420.06,12,420,6,Canada Grants - Tangible Capital Assets,Police,R,,1,
slc.12.420.07,12,420,7,Other Municipalities - Tangible Capital Assets,Police,R,,1,
slc.12.421.01,12,421,1,Ontario Conditional Grants,Court security,R,,1,
slc.12.421.02,12,421,2,Canada Conditional Grants,Court security,R,,1,
slc.12.421.03,12,421,3,Other Municipalities,Court security,R,,1,
slc.12.421.04,12,421,4,User Fees and Service Charges,Court security,R,,1,
slc.12.421.05,12,421,5,Ontario Grants - Tangible Capital Assets,Court security,R,,1,
slc.12.421.06,12,421,6,Canada Grants - Tangible Capital Assets,Court security,R,,1,
slc.12.421.07,12,421,7,Other Municipalities - Tangible Capital Assets,Court security,R,,1,
slc.12.422.01,12,422,1,Ontario Conditional Grants,Prisoner transportation,R,,1,
slc.12.422.02,12,422,2,Canada Conditional Grants,Prisoner transportation,R,,1,
slc.12.422.03,12,422,3,Other Municipalities,Prisoner transportation,R,,1,
slc.12.422.04,12,422,4,User Fees and Service Charges,Prisoner transportation,R,,1,
slc.12.422.05,12,422,5,Ontario Grants - Tangible Capital Assets,Prisoner transportation,R,,1,
slc.12.422.06,12,422,6,Canada Grants - Tangible Capital Assets,Prisoner transportation,R,,1,
slc.12.422.07,12,422,7,Other Municipalities - Tangible Capital Assets,Prisoner transportation,R,,1,
slc.12.430.01,12,430,1,Ontario Conditional Grants,Conservation authority,R,,1,
slc.12.430.02,12,430,2,Canada Conditional Grants,Conservation authority,R,,1,
slc.12.430.03,12,430,3,Other Municipalities,Conservation authority,R,,1,
slc.12.430.04,12,430,4,User Fees and Service Charges,Conservation authority,R,,1,
slc.12.430.05,12,430,5,Ontario Grants - Tangible Capital Assets,Conservation authority,R,,1,
slc.12.430.06,12,430,6,Canada Grants - Tangible Capital Assets,Conservation authority,R,,1,
slc.12.430.07,12,430,7,Other Municipalities - Tangible Capital Assets,Conservation authority,R,,1,
slc.12.440.01,12,440,1,Ontario Conditional Grants,Protective inspection and control,R,,1,
slc.12.440.02,12,440,2,Canada Conditional Grants,Protective inspection and control,R,,1,
slc.12.440.03,12,440,3,Other Municipalities,Protective inspection and control,R,,1,
slc.12.440.04,12,440,4,User Fees and Service Charges,Protective inspection and control,R,,1,
slc.12.440.05,12,440,5,Ontario Grants - Tangible Capital Assets,Protective inspection and control,R,,1,
slc.12.440.06,12,440,6,Canada Grants - Tangible Capital Assets,Protective inspection and control,R,,1,
slc.12.440.07,12,440,7,Other Municipalities - Tangible Capital Assets,Protective inspection and control,R,,1,
slc.12.445.01,12,445,1,Ontario Conditional Grants,Building permit and inspection services,R,,1,
slc.12.445.02,12,445,2,Canada Conditional Grants,Building permit and inspection services,R,,1,
slc.12.445.03,12,445,3,Other Municipalities,Building permit and inspection services,R,,1,
slc.12.445.04,12,445,4,User Fees and Service Charges,Building permit and inspection services,R,,1,
slc.12.445.05,12,445,5,Ontario Grants - Tangible Capital Assets,Building permit and inspection services,R,,1,
slc.12.445.06,12,445,6,Canada Grants - Tangible Capital Assets,Building permit and inspection services,R,,1,
slc.12.445.07,12,445,7,Other Municipalities - Tangible Capital Assets,Building permit and inspection services,R,,1,
slc.12.450.01,12,450,1,Ontario Conditional Grants,Emergency measures,R,,1,
slc.12.450.02,12,450,2,Canada Conditional Grants,Emergency measures,R,,1,
slc.12.450.03,12,450,3,Other Municipalities,Emergency measures,R,,1,
slc.12.450.04,12,450,4,User Fees and Service Charges,Emergency measures,R,,1,
slc.12.450.05,12,450,5,Ontario Grants - Tangible Capital Assets,Emergency measures,R,,1,
slc.12.450.06,12,450,6,Canada Grants - Tangible Capital Assets,Emergency measures,R,,1,
slc.12.450.07,12,450,7,Other Municipalities - Tangible Capital Assets,Emergency measures,R,,1,
slc.12.460.01,12,460,1,Ontario Conditional Grants,Provincial Offences Act (POA),R,,1,
slc.12.460.02,12,460,2,Canada Conditional Grants,Provincial Offences Act (POA),R,,1,
slc.12.460.03,12,460,3,Other Municipalities,Provincial Offences Act (POA),R,,1,
slc.12.460.04,12,460,4,User Fees and Service Charges,Provincial Offences Act (POA),R,,1,
slc.12.460.05,12,460,5,Ontario Grants - Tangible Capital Assets,Provincial Offences Act (POA),R,,1,
slc.12.460.06,12,460,6,Canada Grants - Tangible Capital Assets,Provincial Offences Act (POA),R,,1,
slc.12.460.07,12,460,7,Other Municipalities - Tangible Capital Assets,Provincial Offences Act (POA),R,,1,
slc.12.498.01,12,498,1,Ontario Conditional Grants,Please specify,R,,1,
slc.12.498.02,12,498,2,Canada Conditional Grants,Please specify,R,,1,
slc.12.498.03,12,498,3,Other Municipalities,Please specify,R,,1,
slc.12.498.04,12,498,4,User Fees and Service Charges,Please specify,R,,1,
slc.12.498.05,12,498,5,Ontario Grants - Tangible Capital Assets,Please specify,R,,1,
slc.12.498.06,12,498,6,Canada Grants - Tangible Capital Assets,Please specify,R,,1,
slc.12.498.07,12,498,7,Other Municipalities - Tangible Capital Assets,Please specify,R,,1,
slc.12.499.01,12,499,1,Ontario Conditional Grants,Subtotal,,,,
slc.12.499.02,12,499,2,Canada Conditional Grants,Subtotal,,,,
slc.12.499.03,12,499,3,Other Municipalities,Subtotal,,,,
slc.12.499.04,12,499,4,User Fees and Service Charges,Subtotal,,,,
slc.12.499.05,12,499,5,Ontario Grants - Tangible Capital Assets,Subtotal,,,,
slc.12.499.06,12,499,6,Canada Grants - Tangible Capital Assets,Subtotal,,,,
slc.12.499.07,12,499,7,Other Municipalities - Tangible Capital Assets,Subtotal,,,,
slc.12.611.01,12,611,1,Ontario Conditional Grants,Roads - paved,R,,1,
slc.12.611.02,12,611,2,Canada Conditional Grants,Roads - paved,R,,1,
slc.12.611.03,12,611,3,Other Municipalities,Roads - paved,R,,1,
slc.12.611.04,12,611,4,User Fees and Service Charges,Roads - paved,R,,1,
slc.12.611.05,12,611,5,Ontario Grants - Tangible Capital Assets,Roads - paved,R,,1,
slc.12.611.06,12,611,6,Canada Grants - Tangible Capital Assets,Roads - paved,R,,1,
slc.12.611.07,12,611,7,Other Municipalities - Tangible Capital Assets,Roads - paved,R,,1,
slc.12.612.01,12,612,1,Ontario Conditional Grants,Roads - unpaved,R,,1,
slc.12.612.02,12,612,2,Canada Conditional Grants,Roads - unpaved,R,,1,
slc.12.612.03,12,612,3,Other Municipalities,Roads - unpaved,R,,1,
slc.12.612.04,12,612,4,User Fees and Service Charges,Roads - unpaved,R,,1,
slc.12.612.05,12,612,5,Ontario Grants - Tangible Capital Assets,Roads - unpaved,R,,1,
slc.12.612.06,12,612,6,Canada Grants - Tangible Capital Assets,Roads - unpaved,R,,1,
slc.12.612.07,12,612,7,Other Municipalities - Tangible Capital Assets,Roads - unpaved,R,,1,
slc.12.613.01,12,613,1,Ontario Conditional Grants,Roads - bridges and culverts,R,,1,
slc.12.613.02,12,613,2,Canada Conditional Grants,Roads - bridges and culverts,R,,1,
slc.12.613.03,12,613,3,Other Municipalities,Roads - bridges and culverts,R,,1,
slc.12.613.04,12,613,4,User Fees and Service Charges,Roads - bridges and culverts,R,,1,
slc.12.613.05,12,613,5,Ontario Grants - Tangible Capital Assets,Roads - bridges and culverts,R,,1,
slc.12.613.06,12,613,6,Canada Grants - Tangible Capital Assets,Roads - bridges and culverts,R,,1,
slc.12.613.07,12,613,7,Other Municipalities - Tangible Capital Assets,Roads - bridges and culverts,R,,1,
slc.12.614.01,12,614,1,Ontario Conditional Grants,Roadways - traffic operations & roadside,R,,1,
slc.12.614.02,12,614,2,Canada Conditional Grants,Roadways - traffic operations & roadside,R,,1,
slc.12.614.03,12,614,3,Other Municipalities,Roadways - traffic operations & roadside,R,,1,
slc.12.614.04,12,614,4,User Fees and Service Charges,Roadways - traffic operations & roadside,R,,1,
slc.12.614.05,12,614,5,Ontario Grants - Tangible Capital Assets,Roadways - traffic operations & roadside,R,,1,
slc.12.614.06,12,614,6,Canada Grants - Tangible Capital Assets,Roadways - traffic operations & roadside,R,,1,
slc.12.614.07,12,614,7,Other Municipalities - Tangible Capital Assets,Roadways - traffic operations & roadside,R,,1,
slc.12.621.01,12,621,1,Ontario Conditional Grants,"Winter control - except sidewalks,parking lots",R,,1,
slc.12.621.02,12,621,2,Canada Conditional Grants,"Winter control - except sidewalks,parking lots",R,,1,
slc.12.621.03,12,621,3,Other Municipalities,"Winter control - except sidewalks,parking lots",R,,1,
slc.12.621.04,12,621,4,User Fees and Service Charges,"Winter control - except sidewalks,parking lots",R,,1,
slc.12.621.05,12,621,5,Ontario Grants - Tangible Capital Assets,"Winter control - except sidewalks,parking lots",R,,1,
slc.12.621.06,12,621,6,Canada Grants - Tangible Capital Assets,"Winter control - except sidewalks,parking lots",R,,1,
slc.12.621.07,12,621,7,Other Municipalities - Tangible Capital Assets,"Winter control - except sidewalks,parking lots",R,,1,
slc.12.622.01,12,622,1,Ontario Conditional Grants,"Winter control - sidewalks,parking lots only",R,,1,
slc.12.622.02,12,622,2,Canada Conditional Grants,"Winter control - sidewalks,parking lots only",R,,1,
slc.12.622.03,12,622,3,Other Municipalities,"Winter control - sidewalks,parking lots only",R,,1,
slc.12.622.04,12,622,4,User Fees and Service Charges,"Winter control - sidewalks,parking lots only",R,,1,
slc.12.622.05,12,622,5,Ontario Grants - Tangible Capital Assets,"Winter control - sidewalks,parking lots only",R,,1,
slc.12.622.06,12,622,6,Canada Grants - Tangible Capital Assets,"Winter control - sidewalks,parking lots only",R,,1,
slc.12.622.07,12,622,7,Other Municipalities - Tangible Capital Assets,"Winter control - sidewalks,parking lots only",R,,1,
slc.12.631.01,12,631,1,Ontario Conditional Grants,Transit - conventional,R,,1,
slc.12.631.02,12,631,2,Canada Conditional Grants,Transit - conventional,R,,1,
slc.12.631.03,12,631,3,Other Municipalities,Transit - conventional,R,,1,
slc.12.631.04,12,631,4,User Fees and Service Charges,Transit - conventional,R,,1,
slc.12.631.05,12,631,5,Ontario Grants - Tangible Capital Assets,Transit - conventional,R,,1,
slc.12.631.06,12,631,6,Canada Grants - Tangible Capital Assets,Transit - conventional,R,,1,
slc.12.631.07,12,631,7,Other Municipalities - Tangible Capital Assets,Transit - conventional,R,,1,
slc.12.632.01,12,632,1,Ontario Conditional Grants,Transit - disabled & special needs,R,,1,
slc.12.632.02,12,632,2,Canada Conditional Grants,Transit - disabled & special needs,R,,1,
slc.12.632.03,12,632,3,Other Municipalities,Transit - disabled & special needs,R,,1,
slc.12.632.04,12,632,4,User Fees and Service Charges,Transit - disabled & special needs,R,,1,
slc.12.632.05,12,632,5,Ontario Grants - Tangible Capital Assets,Transit - disabled & special needs,R,,1,
slc.12.632.06,12,632,6,Canada Grants - Tangible Capital Assets,Transit - disabled & special needs,R,,1,
slc.12.632.07,12,632,7,Other Municipalities - Tangible Capital Assets,Transit - disabled & special needs,R,,1,
slc.12.640.01,12,640,1,Ontario Conditional Grants,Parking,R,,1,
slc.12.640.02,12,640,2,Canada Conditional Grants,Parking,R,,1,
slc.12.640.03,12,640,3,Other Municipalities,Parking,R,,1,
slc.12.640.04,12,640,4,User Fees and Service Charges,Parking,R,,1,
slc.12.640.05,12,640,5,Ontario Grants - Tangible Capital Assets,Parking,R,,1,
slc.12.640.06,12,640,6,Canada Grants - Tangible Capital Assets,Parking,R,,1,
slc.12.640.07,12,640,7,Other Municipalities - Tangible Capital Assets,Parking,R,,1,
slc.12.650.01,12,650,1,Ontario Conditional Grants,Street lighting,R,,1,
slc.12.650.02,12,650,2,Canada Conditional Grants,Street lighting,R,,1,
slc.12.650.03,12,650,3,Other Municipalities,Street lighting,R,,1,
slc.12.650.04,12,650,4,User Fees and Service Charges,Street lighting,R,,1,
slc.12.650.05,12,650,5,Ontario Grants - Tangible Capital Assets,Street lighting,R,,1,
slc.12.650.06,12,650,6,Canada Grants - Tangible Capital Assets,Street lighting,R,,1,
slc.12.650.07,12,650,7,Other Municipalities - Tangible Capital Assets,Street lighting,R,,1,
slc.12.660.01,12,660,1,Ontario Conditional Grants,Air transportation,R,,1,
slc.12.660.02,12,660,2,Canada Conditional Grants,Air transportation,R,,1,
slc.12.660.03,12,660,3,Other Municipalities,Air transportation,R,,1,
slc.12.660.04,12,660,4,User Fees and Service Charges,Air transportation,R,,1,
slc.12.660.05,12,660,5,Ontario Grants - Tangible Capital Assets,Air transportation,R,,1,
slc.12.660.06,12,660,6,Canada Grants - Tangible Capital Assets,Air transportation,R,,1,
slc.12.660.07,12,660,7,Other Municipalities - Tangible Capital Assets,Air transportation,R,,1,
slc.12.698.01,12,698,1,Ontario Conditional Grants,Please specify,R,,1,
slc.12.698.02,12,698,2,Canada Conditional Grants,Please specify,R,,1,
slc.12.698.03,12,698,3,Other Municipalities,Please specify,R,,1,
slc.12.698.04,12,698,4,User Fees and Service Charges,Please specify,R,,1,
slc.12.698.05,12,698,5,Ontario Grants - Tangible Capital Assets,Please specify,R,,1,
slc.12.698.06,12,698,6,Canada Grants - Tangible Capital Assets,Please specify,R,,1,
slc.12.698.07,12,698,7,Other Municipalities - Tangible Capital Assets,Please specify,R,,1,
slc.12.699.01,12,699,1,Ontario Conditional Grants,Subtotal,,,,
slc.12.699.02,12,699,2,Canada Conditional Grants,Subtotal,,,,
